,,,,
,,,,
Type,URL,Method,Function,Description
View,/,GET,Root,Move to Articles Page
,/error,GET,Error,
,/login,GET,Login,
,/sign-up,GET,SignUp,
,/articles,GET,Articles,
,/articles/{article-id},GET,Article ,
,/articles/search,GET,Search Articles ,
,/articles/search-hashtag,GET,Search Articles with Hashtag,
,,,,
api,/api/sign-up,POST,SignUp,
,/api/login,GET,Request Login,
,/api/articles,GET,Inquiry Articles List,
,/api/articles/{article-id},GET,Inquiry Article,
,/api/articles,POST,Create Article,
,/api/articles/{article-id},"PUT, PATCH",Update Article,
,/api/articles/{article-id},DELETE,Delete Article,
,/api/articleComments,GET,Inquiry Comments List,
,/api/articleComments/{article-comment-id},GET,Inquiry Comment,
,/api/aricles/{article-id}/articleComments,GET,Inquiry Comments List from Article,
,/api/aricles/{article-id}/articleComments/{article-comment-id},GET,Inquiry Comment from Article,
,/api/aricles/{article-id}/articleComments,POST,Create ArticleComment,
,/api/aricles/{article-id}/articleComments/{article-comment-id},"PUT, PATCH",Update ArticleComment,
,/api/aricles/{article-id}/articleComments/{article-comment-id},DELETE,Delete ArticleComment,